url,bilde,nosaukums,adrese,istabas,platiba,stavs,tips,cena
https://www.ss.com/msg/lv/real-estate/flats/jurmala/priedaine/kmnkm.html,https://i.ss.com/gallery/7/1239/309533/61906588.th2.jpg,"Pārdodam gaišu, siltu 2-istabu dzīvokli ar dizaineru interje",PriedaineBabītes 3 K4,2,43,2/2,Hrušč.,60000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bmgll.html,https://i.ss.com/gallery/5/1000/249911/49982140.th2.jpg,"Lat/rus/ Dzīvokļi no attīstītāja. Jauns, moderns, Eiropas st",DzintariMežaparka pr. 10,2,112,2/3,Jaun.,267000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dubulti/cfmxo.html,https://i.ss.com/gallery/6/1157/289115/57822891.th2.jpg,Хозяин продает. Роскошная теплая с дизайнерским ремонтом сол,DubultiСлокас 65,2,30,2/4,Specpr.,48950
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bfblib.html,https://i.ss.com/gallery/6/1110/277289/55457618.th2.jpg,Piedāvājam iegādāties divu guļamistabu dzīvokli projekta Kad,DzintariIkšķiles 4,3,121,2/3,Jaun.,502740
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/exfxe.html,https://i.ss.com/gallery/7/1334/333438/66687558.th2.jpg,Piedāvājam iegādāties gatavu dzīvošanai divu guļamistabu dzī,DzintariIkšķiles 4,3,124,2/3,Jaun.,508725
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bedbxh.html,https://i.ss.com/gallery/7/1334/333437/66687242.th2.jpg,Piedāvājam iegādei 1 guļamistabas dzīvokli mūsdienīgā un ele,DzintariDzintaru pr. 26,2,99,2/4,Jaun.,495000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/priedaine/dcdie.html,https://i.ss.com/gallery/7/1299/324593/64918469.th2.jpg,"Pārdošanā trīsistabu dzīvoklis , divas atsevišķas guļamistab",PriedaineSalaspils 10,3,71,2/2,P. kara,55000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/bexbio.html,https://i.ss.com/gallery/6/1154/288352/57670282.th2.jpg,Pārdod īpašnieks. Dzīvoklis gatavs dzīvošanai. Cenā iekļauta,JaundubultiPoruka pr. 51 2,2,53,3/3,Jaun.,140000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/expxp.html,https://i.ss.com/gallery/7/1334/333393/66678596.th2.jpg,"Pārdod 4-istabu dzīvokli 6. stāvā Kauguros, Jūrmalā. Dzīvo",KauguriSkolas 29,4,75,6/9,467,70000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/majori/bxkomj.html,https://i.ss.com/gallery/7/1334/333372/66674274.th2.jpg,"Pārdodu izremontētu, pilnībā mēbelētu 3 istabu dzīvokli, ren",MajoriPlūdu 4,3,59,1/5,Renov.,99000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/iengj.html,https://i.ss.com/gallery/7/1262/315257/63051264.th2.jpg,"Īpašnieks pārdod dzīvokli , ļoti labā dislokācijā veikals Ri",KauguriRaiņa 73,3,61,7/9,467,71000
